1,2,3,4,5,6,7,8,9,10,11
2021YukonSpecialists,2021,Yukon,Specialists,14,—,—,—,—,—,—
2022AlbertaAll physicians,2022,Alberta,All physicians,11078,—,—,—,—,—,—
2022British ColumbiaAll physicians,2022,British Columbia,All physicians,14353,—,—,—,—,—,—
2022ManitobaAll physicians,2022,Manitoba,All physicians,3031,—,—,—,—,—,—
2022New BrunswickAll physicians,2022,New Brunswick,All physicians,2163,—,—,—,—,—,—
2022Newfoundland and LabradorAll physicians,2022,Newfoundland and Labrador,All physicians,1415,—,—,—,—,—,—
2022Northwest TerritoriesAll physicians,2022,Northwest Territories,All physicians,57,—,—,—,—,—,—
2022Nova ScotiaAll physicians,2022,Nova Scotia,All physicians,2758,—,—,—,—,—,—
2022NunavutAll physicians,2022,Nunavut,All physicians,29,—,—,—,—,—,—
2022OntarioAll physicians,2022,Ontario,All physicians,35320,—,—,—,—,—,—
2022Prince Edward IslandAll physicians,2022,Prince Edward Island,All physicians,356,—,—,—,—,—,—
2022Provinces/territories with available dataAll physicians,2022,Provinces/territories with available data,All physicians,96020,—,—,—,—,—,—
2022QuebecAll physicians,2022,Quebec,All physicians,22765,—,—,—,—,—,—
2022SaskatchewanAll physicians,2022,Saskatchewan,All physicians,2606,—,—,—,—,—,—
2022YukonAll physicians,2022,Yukon,All physicians,89,—,—,—,—,—,—
2022AlbertaFamily medicine physicians,2022,Alberta,Family medicine physicians,5417,—,—,—,—,—,—
2022British ColumbiaFamily medicine physicians,2022,British Columbia,Family medicine physicians,7523,—,—,—,—,—,—
2022ManitobaFamily medicine physicians,2022,Manitoba,Family medicine physicians,1570,—,—,—,—,—,—
2022New BrunswickFamily medicine physicians,2022,New Brunswick,Family medicine physicians,1124,—,—,—,—,—,—
2022Newfoundland and LabradorFamily medicine physicians,2022,Newfoundland and Labrador,Family medicine physicians,702,—,—,—,—,—,—
2022Northwest TerritoriesFamily medicine physicians,2022,Northwest Territories,Family medicine physicians,45,—,—,—,—,—,—
2022Nova ScotiaFamily medicine physicians,2022,Nova Scotia,Family medicine physicians,1346,—,—,—,—,—,—
2022NunavutFamily medicine physicians,2022,Nunavut,Family medicine physicians,25,—,—,—,—,—,—
2022OntarioFamily medicine physicians,2022,Ontario,Family medicine physicians,17416,—,—,—,—,—,—
2022Prince Edward IslandFamily medicine physicians,2022,Prince Edward Island,Family medicine physicians,195,—,—,—,—,—,—
2022Provinces/territories with available dataFamily medicine physicians,2022,Provinces/territories with available data,Family medicine physicians,48292,—,—,—,—,—,—
2022QuebecFamily medicine physicians,2022,Quebec,Family medicine physicians,11449,—,—,—,—,—,—
2022SaskatchewanFamily medicine physicians,2022,Saskatchewan,Family medicine physicians,1406,—,—,—,—,—,—
2022YukonFamily medicine physicians,2022,Yukon,Family medicine physicians,74,—,—,—,—,—,—
2022AlbertaSpecialists,2022,Alberta,Specialists,5661,—,—,—,—,—,—
2022British ColumbiaSpecialists,2022,British Columbia,Specialists,6830,—,—,—,—,—,—
2022ManitobaSpecialists,2022,Manitoba,Specialists,1461,—,—,—,—,—,—
2022New BrunswickSpecialists,2022,New Brunswick,Specialists,1039,—,—,—,—,—,—
2022Newfoundland and LabradorSpecialists,2022,Newfoundland and Labrador,Specialists,713,—,—,—,—,—,—
2022Northwest TerritoriesSpecialists,2022,Northwest Territories,Specialists,12,—,—,—,—,—,—
2022Nova ScotiaSpecialists,2022,Nova Scotia,Specialists,1412,—,—,—,—,—,—
2022NunavutSpecialists,2022,Nunavut,Specialists,4,—,—,—,—,—,—
2022OntarioSpecialists,2022,Ontario,Specialists,17904,—,—,—,—,—,—
2022Prince Edward IslandSpecialists,2022,Prince Edward Island,Specialists,161,—,—,—,—,—,—
2022Provinces/territories with available dataSpecialists,2022,Provinces/territories with available data,Specialists,47728,—,—,—,—,—,—
2022QuebecSpecialists,2022,Quebec,Specialists,11316,—,—,—,—,—,—
2022SaskatchewanSpecialists,2022,Saskatchewan,Specialists,1200,—,—,—,—,—,—
2022YukonSpecialists,2022,Yukon,Specialists,15,—,—,—,—,—,—
2023AlbertaAll physicians,2023,Alberta,All physicians,11275,—,—,—,—,—,—
2023British ColumbiaAll physicians,2023,British Columbia,All physicians,15023,—,—,—,—,—,—
2023ManitobaAll physicians,2023,Manitoba,All physicians,3187,—,—,—,—,—,—
2023New BrunswickAll physicians,2023,New Brunswick,All physicians,2214,—,—,—,—,—,—
2023Newfoundland and LabradorAll physicians,2023,Newfoundland and Labrador,All physicians,1399,—,—,—,—,—,—
2023Northwest TerritoriesAll physicians,2023,Northwest Territories,All physicians,59,—,—,—,—,—,—
2023Nova ScotiaAll physicians,2023,Nova Scotia,All physicians,2759,—,—,—,—,—,—
2023NunavutAll physicians,2023,Nunavut,All physicians,29,—,—,—,—,—,—
2023OntarioAll physicians,2023,Ontario,All physicians,35215,—,—,—,—,—,—
2023Prince Edward IslandAll physicians,2023,Prince Edward Island,All physicians,373,—,—,—,—,—,—
2023Provinces/territories with available dataAll physicians,2023,Provinces/territories with available data,All physicians,97384,—,—,—,—,—,—
2023QuebecAll physicians,2023,Quebec,All physicians,23082,—,—,—,—,—,—
2023SaskatchewanAll physicians,2023,Saskatchewan,All physicians,2677,—,—,—,—,—,—
2023YukonAll physicians,2023,Yukon,All physicians,92,—,—,—,—,—,—
2023AlbertaFamily medicine physicians,2023,Alberta,Family medicine physicians,5452,—,—,—,—,—,—
2023British ColumbiaFamily medicine physicians,2023,British Columbia,Family medicine physicians,7615,—,—,—,—,—,—
2023ManitobaFamily medicine physicians,2023,Manitoba,Family medicine physicians,1562,—,—,—,—,—,—
2023New BrunswickFamily medicine physicians,2023,New Brunswick,Family medicine physicians,1181,—,—,—,—,—,—
2023Newfoundland and LabradorFamily medicine physicians,2023,Newfoundland and Labrador,Family medicine physicians,666,—,—,—,—,—,—
2023Northwest TerritoriesFamily medicine physicians,2023,Northwest Territories,Family medicine physicians,46,—,—,—,—,—,—
2023Nova ScotiaFamily medicine physicians,2023,Nova Scotia,Family medicine physicians,1279,—,—,—,—,—,—
2023NunavutFamily medicine physicians,2023,Nunavut,Family medicine physicians,25,—,—,—,—,—,—
2023OntarioFamily medicine physicians,2023,Ontario,Family medicine physicians,17178,—,—,—,—,—,—
2023Prince Edward IslandFamily medicine physicians,2023,Prince Edward Island,Family medicine physicians,205,—,—,—,—,—,—
2023Provinces/territories with available dataFamily medicine physicians,2023,Provinces/territories with available data,Family medicine physicians,48264,—,—,—,—,—,—
2023QuebecFamily medicine physicians,2023,Quebec,Family medicine physicians,11549,—,—,—,—,—,—
2023SaskatchewanFamily medicine physicians,2023,Saskatchewan,Family medicine physicians,1431,—,—,—,—,—,—
2023YukonFamily medicine physicians,2023,Yukon,Family medicine physicians,75,—,—,—,—,—,—
2023AlbertaSpecialists,2023,Alberta,Specialists,5823,—,—,—,—,—,—
2023British ColumbiaSpecialists,2023,British Columbia,Specialists,7408,—,—,—,—,—,—
2023ManitobaSpecialists,2023,Manitoba,Specialists,1625,—,—,—,—,—,—
2023New BrunswickSpecialists,2023,New Brunswick,Specialists,1033,—,—,—,—,—,—
2023Newfoundland and LabradorSpecialists,2023,Newfoundland and Labrador,Specialists,733,—,—,—,—,—,—
2023Northwest TerritoriesSpecialists,2023,Northwest Territories,Specialists,13,—,—,—,—,—,—
2023Nova ScotiaSpecialists,2023,Nova Scotia,Specialists,1480,—,—,—,—,—,—
2023NunavutSpecialists,2023,Nunavut,Specialists,4,—,—,—,—,—,—
2023OntarioSpecialists,2023,Ontario,Specialists,18037,—,—,—,—,—,—
2023Prince Edward IslandSpecialists,2023,Prince Edward Island,Specialists,168,—,—,—,—,—,—
2023Provinces/territories with available dataSpecialists,2023,Provinces/territories with available data,Specialists,49120,—,—,—,—,—,—
2023QuebecSpecialists,2023,Quebec,Specialists,11533,—,—,—,—,—,—
2023SaskatchewanSpecialists,2023,Saskatchewan,Specialists,1246,—,—,—,—,—,—
2023YukonSpecialists,2023,Yukon,Specialists,17,—,—,—,—,—,—
2024AlbertaAll physicians,2024,Alberta,All physicians,11750,—,—,—,—,—,—
2024British ColumbiaAll physicians,2024,British Columbia,All physicians,15460,—,—,—,—,—,—
2024ManitobaAll physicians,2024,Manitoba,All physicians,3357,—,—,—,—,—,—
2024New BrunswickAll physicians,2024,New Brunswick,All physicians,2214,—,—,—,—,—,—
2024Newfoundland and LabradorAll physicians,2024,Newfoundland and Labrador,All physicians,1421,—,—,—,—,—,—
2024Northwest TerritoriesAll physicians,2024,Northwest Territories,All physicians,51,—,—,—,—,—,—
2024Nova ScotiaAll physicians,2024,Nova Scotia,All physicians,2888,—,—,—,—,—,—
2024NunavutAll physicians,2024,Nunavut,All physicians,23,—,—,—,—,—,—
2024OntarioAll physicians,2024,Ontario,All physicians,35653,—,—,—,—,—,—
2024Prince Edward IslandAll physicians,2024,Prince Edward Island,All physicians,377,—,—,—,—,—,—
2024Provinces/territories with available dataAll physicians,2024,Provinces/territories with available data,All physicians,99555,—,—,—,—,—,—
2024QuebecAll physicians,2024,Quebec,All physicians,23562,—,—,—,—,—,—
2024SaskatchewanAll physicians,2024,Saskatchewan,All physicians,2709,—,—,—,—,—,—
2024YukonAll physicians,2024,Yukon,All physicians,90,—,—,—,—,—,—
2024AlbertaFamily medicine physicians,2024,Alberta,Family medicine physicians,5734,—,—,—,—,—,—
2024British ColumbiaFamily medicine physicians,2024,British Columbia,Family medicine physicians,7838,—,—,—,—,—,—
2024ManitobaFamily medicine physicians,2024,Manitoba,Family medicine physicians,1670,—,—,—,—,—,—
2024New BrunswickFamily medicine physicians,2024,New Brunswick,Family medicine physicians,1179,—,—,—,—,—,—
2024Newfoundland and LabradorFamily medicine physicians,2024,Newfoundland and Labrador,Family medicine physicians,662,—,—,—,—,—,—
2024Northwest TerritoriesFamily medicine physicians,2024,Northwest Territories,Family medicine physicians,39,—,—,—,—,—,—
2024Nova ScotiaFamily medicine physicians,2024,Nova Scotia,Family medicine physicians,1329,—,—,—,—,—,—
2024NunavutFamily medicine physicians,2024,Nunavut,Family medicine physicians,20,—,—,—,—,—,—
2024OntarioFamily medicine physicians,2024,Ontario,Family medicine physicians,17304,—,—,—,—,—,—
2024Prince Edward IslandFamily medicine physicians,2024,Prince Edward Island,Family medicine physicians,211,—,—,—,—,—,—
2024Provinces/territories with available dataFamily medicine physicians,2024,Provinces/territories with available data,Family medicine physicians,49188,—,—,—,—,—,—
2024QuebecFamily medicine physicians,2024,Quebec,Family medicine physicians,11701,—,—,—,—,—,—
2024SaskatchewanFamily medicine physicians,2024,Saskatchewan,Family medicine physicians,1429,—,—,—,—,—,—
2024YukonFamily medicine physicians,2024,Yukon,Family medicine physicians,72,—,—,—,—,—,—
2024AlbertaSpecialists,2024,Alberta,Specialists,6016,—,—,—,—,—,—
2024British ColumbiaSpecialists,2024,British Columbia,Specialists,7622,—,—,—,—,—,—
2024ManitobaSpecialists,2024,Manitoba,Specialists,1687,—,—,—,—,—,—
2024New BrunswickSpecialists,2024,New Brunswick,Specialists,1035,—,—,—,—,—,—
2024Newfoundland and LabradorSpecialists,2024,Newfoundland and Labrador,Specialists,759,—,—,—,—,—,—
2024Northwest TerritoriesSpecialists,2024,Northwest Territories,Specialists,12,—,—,—,—,—,—
2024Nova ScotiaSpecialists,2024,Nova Scotia,Specialists,1559,—,—,—,—,—,—
2024NunavutSpecialists,2024,Nunavut,Specialists,3,—,—,—,—,—,—
2024OntarioSpecialists,2024,Ontario,Specialists,18349,—,—,—,—,—,—
2024Prince Edward IslandSpecialists,2024,Prince Edward Island,Specialists,166,—,—,—,—,—,—
2024Provinces/territories with available dataSpecialists,2024,Provinces/territories with available data,Specialists,50367,—,—,—,—,—,—
2024QuebecSpecialists,2024,Quebec,Specialists,11861,—,—,—,—,—,—
2024SaskatchewanSpecialists,2024,Saskatchewan,Specialists,1280,—,—,—,—,—,—
2024YukonSpecialists,2024,Yukon,Specialists,18,—,—,—,—,—,—
2015AlbertaLicensed practical nurses,2015,Alberta,Licensed practical nurses,12330,1846,790,10484,10801,0.149716139,0.064071371
2015British ColumbiaLicensed practical nurses,2015,British Columbia,Licensed practical nurses,11619,1699,856,9920,10483,0.146226009,0.073672433
2015ManitobaLicensed practical nurses,2015,Manitoba,Licensed practical nurses,3202,289,233,2913,3032,0.09025609,0.072767021
2015New BrunswickLicensed practical nurses,2015,New Brunswick,Licensed practical nurses,3279,374,222,2905,3061,0.114059164,0.067703568
2015Newfoundland and LabradorLicensed practical nurses,2015,Newfoundland and Labrador,Licensed practical nurses,2304,185,167,2119,2245,0.080295139,0.072482639
2015Northwest TerritoriesLicensed practical nurses,2015,Northwest Territories,Licensed practical nurses,108,18,16,90,105,0.166666667,0.148148148
2015Northwest Territories/NunavutLicensed practical nurses,2015,Northwest Territories/Nunavut,Licensed practical nurses,—,—,—,—,—,—,—
2015Nova ScotiaLicensed practical nurses,2015,Nova Scotia,Licensed practical nurses,3908,366,285,3542,3774,0.093654043,0.072927329
2015NunavutLicensed practical nurses,2015,Nunavut,Licensed practical nurses,99,—,—,—,—,—,—
2015OntarioLicensed practical nurses,2015,Ontario,Licensed practical nurses,43656,4364,2120,39292,39069,0.09996335,0.048561481
2015Prince Edward IslandLicensed practical nurses,2015,Prince Edward Island,Licensed practical nurses,644,44,37,600,548,0.068322981,0.057453416
2015Provinces/territories with available dataLicensed practical nurses,2015,Provinces/territories with available data,Licensed practical nurses,113476,—,—,—,101327,—,—
2015QuebecLicensed practical nurses,2015,Quebec,Licensed practical nurses,28712,3093,2526,25619,24867,0.107724993,0.087977152
2015SaskatchewanLicensed practical nurses,2015,Saskatchewan,Licensed practical nurses,3503,424,274,3079,3230,0.121039109,0.07821867
2015YukonLicensed practical nurses,2015,Yukon,Licensed practical nurses,112,17,12,95,112,0.151785714,0.107142857
2015AlbertaNurse practitioners,2015,Alberta,Nurse practitioners,414,58,26,356,377,0.140096618,0.062801932
2015British ColumbiaNurse practitioners,2015,British Columbia,Nurse practitioners,315,47,12,268,236,0.149206349,0.038095238
2015ManitobaNurse practitioners,2015,Manitoba,Nurse practitioners,152,29,10,123,148,0.190789474,0.065789474
2015New BrunswickNurse practitioners,2015,New Brunswick,Nurse practitioners,109,11,7,98,106,0.100917431,0.064220183
2015Newfoundland and LabradorNurse practitioners,2015,Newfoundland and Labrador,Nurse practitioners,136,12,—,124,136,0.088235294,—
2015Northwest Territories/NunavutNurse practitioners,2015,Northwest Territories/Nunavut,Nurse practitioners,48,15,13,33,45,0.3125,0.270833333
2015Nova ScotiaNurse practitioners,2015,Nova Scotia,Nurse practitioners,149,12,12,137,143,0.080536913,0.080536913
2015OntarioNurse practitioners,2015,Ontario,Nurse practitioners,2520,264,59,2256,2405,0.104761905,0.023412698
2015Prince Edward IslandNurse practitioners,2015,Prince Edward Island,Nurse practitioners,17,5,4,12,14,0.294117647,0.235294118
2015Provinces/territories with available dataNurse practitioners,2015,Provinces/territories with available data,Nurse practitioners,4356,—,—,—,4090,—,—
2015QuebecNurse practitioners,2015,Quebec,Nurse practitioners,305,59,6,246,303,0.193442623,0.019672131
2015SaskatchewanNurse practitioners,2015,Saskatchewan,Nurse practitioners,186,26,9,160,172,0.139784946,0.048387097
2015YukonNurse practitioners,2015,Yukon,Nurse practitioners,5,0,1,5,5,0,0.2
2015AlbertaOccupational therapists,2015,Alberta,Occupational therapists,2036,210,134,1826,1919,0.103143418,0.065815324
2015British ColumbiaOccupational therapists,2015,British Columbia,Occupational therapists,2112,209,141,1903,2077,0.098958333,0.066761364
2015ManitobaOccupational therapists,2015,Manitoba,Occupational therapists,646,87,64,559,645,0.134674923,0.099071207
2015New BrunswickOccupational therapists,2015,New Brunswick,Occupational therapists,344,38,32,306,336,0.110465116,0.093023256
2015Newfoundland and LabradorOccupational therapists,2015,Newfoundland and Labrador,Occupational therapists,205,51,10,154,201,0.248780488,0.048780488
2015Northwest TerritoriesOccupational therapists,2015,Northwest Territories,Occupational therapists,17,3,2,14,17,0.176470588,0.117647059
2015Nova ScotiaOccupational therapists,2015,Nova Scotia,Occupational therapists,495,41,25,454,441,0.082828283,0.050505051
2015NunavutOccupational therapists,2015,Nunavut,Occupational therapists,3,0,0,3,3,0,0
2015OntarioOccupational therapists,2015,Ontario,Occupational therapists,5457,512,348,4945,5168,0.093824446,0.063771303
2015Prince Edward IslandOccupational therapists,2015,Prince Edward Island,Occupational therapists,58,12,2,46,57,0.206896552,0.034482759
2015Provinces/territories with available dataOccupational therapists,2015,Provinces/territories with available data,Occupational therapists,16552,—,—,—,15541,—,—
2015QuebecOccupational therapists,2015,Quebec,Occupational therapists,4826,276,219,4550,4330,0.05719022,0.045379196
2015SaskatchewanOccupational therapists,2015,Saskatchewan,Occupational therapists,334,45,34,289,330,0.134730539,0.101796407
2015YukonOccupational therapists,2015,Yukon,Occupational therapists,19,3,4,16,17,0.157894737,0.210526316
2015AlbertaPharmacists,2015,Alberta,Pharmacists,4818,495,225,4323,4529,0.102739726,0.046699875
2015British ColumbiaPharmacists,2015,British Columbia,Pharmacists,5197,392,372,4805,4775,0.075428132,0.071579758
2015ManitobaPharmacists,2015,Manitoba,Pharmacists,1450,106,49,1344,1415,0.073103448,0.033793103
2015New BrunswickPharmacists,2015,New Brunswick,Pharmacists,861,—,37,—,777,—,0.042973287
2015Newfoundland and LabradorPharmacists,2015,Newfoundland and Labrador,Pharmacists,718,47,29,671,705,0.06545961,0.040389972
2015Northwest TerritoriesPharmacists,2015,Northwest Territories,Pharmacists,30,11,6,19,30,0.366666667,0.2
2015Nova ScotiaPharmacists,2015,Nova Scotia,Pharmacists,1325,90,79,1235,1277,0.067924528,0.059622642
2015NunavutPharmacists,2015,Nunavut,Pharmacists,10,—,—,—,—,—,—
2015OntarioPharmacists,2015,Ontario,Pharmacists,14390,988,359,13402,13704,0.068658791,0.02494788
2015Prince Edward IslandPharmacists,2015,Prince Edward Island,Pharmacists,181,11,6,170,181,0.060773481,0.033149171
2015Provinces/territories with available dataPharmacists,2015,Provinces/territories with available data,Pharmacists,39263,—,—,—,28894,—,—
2015QuebecPharmacists,2015,Quebec,Pharmacists,8743,—,—,—,—,—,—
2015SaskatchewanPharmacists,2015,Saskatchewan,Pharmacists,1492,118,71,1374,1467,0.079088472,0.047587131
2015YukonPharmacists,2015,Yukon,Pharmacists,48,—,—,—,34,—,—
2015AlbertaPhysiotherapists,2015,Alberta,Physiotherapists,2627,265,123,2362,2596,0.100875523,0.046821469
2015British ColumbiaPhysiotherapists,2015,British Columbia,Physiotherapists,3404,278,165,3126,3321,0.081668625,0.048472385
2015ManitobaPhysiotherapists,2015,Manitoba,Physiotherapists,707,82,56,625,707,0.115983027,0.079207921
2015New BrunswickPhysiotherapists,2015,New Brunswick,Physiotherapists,509,29,27,480,506,0.05697446,0.053045187
2015Newfoundland and LabradorPhysiotherapists,2015,Newfoundland and Labrador,Physiotherapists,269,33,16,236,265,0.12267658,0.059479554
2015Nova ScotiaPhysiotherapists,2015,Nova Scotia,Physiotherapists,653,60,52,593,653,0.091883614,0.079632466
2015OntarioPhysiotherapists,2015,Ontario,Physiotherapists,8161,794,430,7367,7733,0.097291999,0.052689621
2015Prince Edward IslandPhysiotherapists,2015,Prince Edward Island,Physiotherapists,75,—,4,—,75,—,0.053333333
2015Provinces/territories with available dataPhysiotherapists,2015,Provinces/territories with available data,Physiotherapists,21776,—,—,—,21117,—,—
2015QuebecPhysiotherapists,2015,Quebec,Physiotherapists,4627,468,285,4159,4538,0.101145451,0.061594986
2015SaskatchewanPhysiotherapists,2015,Saskatchewan,Physiotherapists,706,65,38,641,690,0.092067989,0.053824363
2015YukonPhysiotherapists,2015,Yukon,Physiotherapists,38,x,0,x,33,—,0
2015AlbertaRegistered nurses,2015,Alberta,Registered nurses,34764,4175,2239,30589,33773,0.120095501,0.064405707
2015British ColumbiaRegistered nurses,2015,British Columbia,Registered nurses,35397,2798,2171,32599,33545,0.079046247,0.061332881
2015ManitobaRegistered nurses,2015,Manitoba,Registered nurses,12634,775,594,11859,12165,0.061342409,0.047015989
2015New BrunswickRegistered nurses,2015,New Brunswick,Registered nurses,8240,515,577,7725,7855,0.0625,0.070024272
2015Newfoundland and LabradorRegistered nurses,2015,Newfoundland and Labrador,Registered nurses,6008,452,415,5556,5936,0.075233023,0.069074567
2015Northwest Territories/NunavutRegistered nurses,2015,Northwest Territories/Nunavut,Registered nurses,1153,217,222,936,980,0.188204683,0.192541197
2015Nova ScotiaRegistered nurses,2015,Nova Scotia,Registered nurses,9524,715,759,8809,9153,0.075073499,0.079693406
2015OntarioRegistered nurses,2015,Ontario,Registered nurses,102490,4985,4698,97505,95659,0.048638892,0.045838618
2015Prince Edward IslandRegistered nurses,2015,Prince Edward Island,Registered nurses,1586,97,125,1489,1523,0.061160151,0.078814628
2015Provinces/territories with available dataRegistered nurses,2015,Provinces/territories with available data,Registered nurses,292464,—,—,—,279470,—,—
2015QuebecRegistered nurses,2015,Quebec,Registered nurses,70042,4895,4413,65147,68435,0.069886639,0.063005054
2015SaskatchewanRegistered nurses,2015,Saskatchewan,Registered nurses,10226,567,691,9659,10054,0.0554469,0.067572854
2015YukonRegistered nurses,2015,Yukon,Registered nurses,400,64,71,336,392,0.16,0.1775
2015AlbertaRegistered psychiatric nurses,2015,Alberta,Registered psychiatric nurses,1306,104,103,1202,1284,0.079632466,0.078866769
2015British ColumbiaRegistered psychiatric nurses,2015,British Columbia,Registered psychiatric nurses,2580,250,171,2330,2400,0.096899225,0.06627907
2015ManitobaRegistered psychiatric nurses,2015,Manitoba,Registered psychiatric nurses,995,78,80,917,938,0.07839196,0.08040201
2015Northwest Territories/NunavutRegistered psychiatric nurses,2015,Northwest Territories/Nunavut,Registered psychiatric nurses,—,—,—,—,—,—,—
2015Provinces/territories with available dataRegistered psychiatric nurses,2015,Provinces/territories with available data,Registered psychiatric nurses,5764,—,—,—,5463,—,—
2015SaskatchewanRegistered psychiatric nurses,2015,Saskatchewan,Registered psychiatric nurses,878,82,66,796,841,0.093394077,0.075170843
2015YukonRegistered psychiatric nurses,2015,Yukon,Registered psychiatric nurses,5,—,—,—,—,—,—
2016AlbertaLicensed practical nurses,2016,Alberta,Licensed practical nurses,13261,1721,974,11540,11631,0.129779051,0.073448458
2016British ColumbiaLicensed practical nurses,2016,British Columbia,Licensed practical nurses,11775,1012,853,10763,10832,0.085944798,0.072441614
2016ManitobaLicensed practical nurses,2016,Manitoba,Licensed practical nurses,3235,266,199,2969,3103,0.082225657,0.061514683
2016New BrunswickLicensed practical nurses,2016,New Brunswick,Licensed practical nurses,3345,288,317,3057,3139,0.086098655,0.094768311
2016Newfoundland and LabradorLicensed practical nurses,2016,Newfoundland and Labrador,Licensed practical nurses,2347,210,173,2137,2273,0.089475927,0.073711121
2016Northwest TerritoriesLicensed practical nurses,2016,Northwest Territories,Licensed practical nurses,133,41,25,92,116,0.308270677,0.187969925
2016Northwest Territories/NunavutLicensed practical nurses,2016,Northwest Territories/Nunavut,Licensed practical nurses,—,—,—,—,—,—,—
2016Nova ScotiaLicensed practical nurses,2016,Nova Scotia,Licensed practical nurses,4014,391,272,3623,3850,0.097409068,0.06776283
2016NunavutLicensed practical nurses,2016,Nunavut,Licensed practical nurses,97,—,—,—,—,—,—
2016OntarioLicensed practical nurses,2016,Ontario,Licensed practical nurses,46252,4716,2420,41536,41468,0.101963158,0.052322062
2016Prince Edward IslandLicensed practical nurses,2016,Prince Edward Island,Licensed practical nurses,651,44,33,607,578,0.067588326,0.050691244
2016Provinces/territories with available dataLicensed practical nurses,2016,Provinces/territories with available data,Licensed practical nurses,116605,—,—,—,105109,—,—
2016QuebecLicensed practical nurses,2016,Quebec,Licensed practical nurses,27854,1668,2789,26186,24620,0.059883679,0.100129245
2016SaskatchewanLicensed practical nurses,2016,Saskatchewan,Licensed practical nurses,3526,297,300,3229,3389,0.084231424,0.085082246
2016YukonLicensed practical nurses,2016,Yukon,Licensed practical nurses,115,15,—,100,110,0.130434783,—
2016AlbertaNurse practitioners,2016,Alberta,Nurse practitioners,449,61,23,388,427,0.135857461,0.051224944
2016British ColumbiaNurse practitioners,2016,British Columbia,Nurse practitioners,385,82,26,303,269,0.212987013,0.067532468
2016ManitobaNurse practitioners,2016,Manitoba,Nurse practitioners,163,21,1,142,162,0.128834356,0.006134969
2016New BrunswickNurse practitioners,2016,New Brunswick,Nurse practitioners,117,15,7,102,113,0.128205128,0.05982906
2016Newfoundland and LabradorNurse practitioners,2016,Newfoundland and Labrador,Nurse practitioners,149,—,5,—,148,—,0.033557047
2016Northwest Territories/NunavutNurse practitioners,2016,Northwest Territories/Nunavut,Nurse practitioners,45,10,5,35,38,0.222222222,0.111111111
2016Nova ScotiaNurse practitioners,2016,Nova Scotia,Nurse practitioners,146,9,12,137,141,0.061643836,0.082191781
2016OntarioNurse practitioners,2016,Ontario,Nurse practitioners,2769,308,74,2461,2646,0.111231492,0.026724449
2016Prince Edward IslandNurse practitioners,2016,Prince Edward Island,Nurse practitioners,22,9,1,13,22,0.409090909,0.045454545
2016Provinces/territories with available dataNurse practitioners,2016,Provinces/territories with available data,Nurse practitioners,4836,—,—,—,4540,—,—
2016QuebecNurse practitioners,2016,Quebec,Nurse practitioners,380,81,8,299,378,0.213157895,0.021052632
2016SaskatchewanNurse practitioners,2016,Saskatchewan,Nurse practitioners,206,29,14,177,192,0.140776699,0.067961165
2016YukonNurse practitioners,2016,Yukon,Nurse practitioners,5,1,0,4,4,0.2,0
2016AlbertaOccupational therapists,2016,Alberta,Occupational therapists,2072,170,115,1902,1907,0.082046332,0.055501931
2016British ColumbiaOccupational therapists,2016,British Columbia,Occupational therapists,2213,242,134,1971,2178,0.109353818,0.060551288
2016ManitobaOccupational therapists,2016,Manitoba,Occupational therapists,632,50,67,582,629,0.079113924,0.106012658
2016New BrunswickOccupational therapists,2016,New Brunswick,Occupational therapists,357,45,28,312,347,0.12605042,0.078431373
2016Newfoundland and LabradorOccupational therapists,2016,Newfoundland and Labrador,Occupational therapists,208,13,15,195,206,0.0625,0.072115385
2016Northwest TerritoriesOccupational therapists,2016,Northwest Territories,Occupational therapists,16,1,7,15,16,0.0625,0.4375
2016Nova ScotiaOccupational therapists,2016,Nova Scotia,Occupational therapists,516,46,28,470,453,0.089147287,0.054263566
2016NunavutOccupational therapists,2016,Nunavut,Occupational therapists,4,1,0,3,4,0.25,0
2016OntarioOccupational therapists,2016,Ontario,Occupational therapists,5616,507,303,5109,5440,0.090277778,0.053952991
2016Prince Edward IslandOccupational therapists,2016,Prince Edward Island,Occupational therapists,62,6,6,56,61,0.096774194,0.096774194
2016Provinces/territories with available dataOccupational therapists,2016,Provinces/territories with available data,Occupational therapists,17034,—,—,—,16047,—,—
2016QuebecOccupational therapists,2016,Quebec,Occupational therapists,4980,373,186,4607,4455,0.074899598,0.037349398
2016SaskatchewanOccupational therapists,2016,Saskatchewan,Occupational therapists,340,40,38,300,334,0.117647059,0.111764706
2016YukonOccupational therapists,2016,Yukon,Occupational therapists,18,3,6,15,17,0.166666667,0.333333333
2016AlbertaPharmacists,2016,Alberta,Pharmacists,5120,527,331,4593,4765,0.102929688,0.064648438
2016British ColumbiaPharmacists,2016,British Columbia,Pharmacists,5188,363,193,4825,4820,0.06996916,0.037201234
2016ManitobaPharmacists,2016,Manitoba,Pharmacists,1524,123,65,1401,1479,0.080708661,0.042650919
2016New BrunswickPharmacists,2016,New Brunswick,Pharmacists,865,41,34,824,833,0.047398844,0.039306358
2016Newfoundland and LabradorPharmacists,2016,Newfoundland and Labrador,Pharmacists,752,63,67,689,742,0.083776596,0.089095745
2016Northwest TerritoriesPharmacists,2016,Northwest Territories,Pharmacists,34,10,5,24,33,0.294117647,0.147058824
